STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
6,California,61071,2,1,1S9S0000*S0009***,2021-09-08 14:51:22,0,6,TRAILER,4988,SUPERIOR TRAILER WORKS,9258,SUPERIOR TRAILER WORKS,23494,Superior Trailer Works,1995,,,6,UNITED STATES (USA),CALIFORNIA,LOS ANGELES,,,61,Trailer,,,,,141,Transfer Trailer,,,33.000,Type of Trailer: Full Trailer,2,,
6,California,61073,2,1,5NHUEH42*JF******,2021-09-08 14:51:22,0,6,TRAILER,1084,"FOREST RIVER, INC.",531,FOREST RIVER,2520,Economy Hauler,2018,,,6,UNITED STATES (USA),OREGON,SILVERTON,,"Address: 1204 Mill Street, 97381",61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,14.000,,2,,
6,California,61100,2,1,1RNF45A2*6R******,2021-09-08 14:51:23,0,6,TRAILER,3579,"REITNOUER, INC.",5594,REITNOUER INC,14493,Reitnouer Inc Trailers,2006,,,6,UNITED STATES (USA),PENNSYLVANIA,READING,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,45.000,Airride,2,,
6,California,61101,2,1,1UYVS253*GU******,2021-09-08 14:51:23,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2016,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,61101,3,1,3H3V532C*LR******,2021-09-08 14:51:23,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2020,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
6,California,61130,4,1,1UYVS253*K2******,2021-09-08 14:51:23,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2019,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,61133,2,1,4FGB2242*GC******,2021-09-08 14:51:23,0,6,TRAILER,13341,"FEATHERLITE TRAILER MANUFACTURING, LLC",997,FEATHERLITE TRAILERS,4226,Featherlite Trailers,2016,,,6,UNITED STATES (USA),IOWA,CRESCO,,Trailer Body Type: Stock,61,Trailer,,,,,,,3,Gooseneck,24.000,Aluminum,2,,
6,California,61161,1,1,3H3C412S*1T******,2021-09-08 14:51:24,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2001,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,109,Container Chassis/Container Trailer,,,41.000,Material: Steel,2,,
6,California,61163,2,1,1UYVS253*1U******,2021-09-08 14:51:24,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2001,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,61170,2,1,1JJV482D*KL******,2021-09-08 14:51:24,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2019,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,48.000,,2,,
