ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10454,0,0,0,0,0,0,0,0,0,0
10455,0,0,0,0,0,0,0,0,0,0
10456,0,0,0,0,0,0,11,0,0,0
10457,0,0,0,0,0,0,0,0,0,0
10458,15,15,15,15,15,15,15,15,15,15
10459,0,0,0,0,0,0,0,0,0,0
10460,0,0,0,19,0,0,0,12,0,0
10461,0,0,0,0,0,0,0,0,0,0
10462,0,23,0,10,0,26,11,20,19,26
10463,16,16,16,16,16,16,16,16,16,16
10464,14,14,14,14,14,14,14,14,14,14
10465,0,0,0,0,0,0,0,0,0,0
10466,0,0,0,31,0,0,20,0,0,0
10467,0,0,0,0,0,0,0,0,0,3
10468,0,0,0,0,9,15,13,19,0,22
10469,0,0,0,0,0,0,0,0,0,0
10470,0,0,0,0,0,0,16,0,0,0
10471,8,8,8,21,8,8,8,8,8,8
10472,0,0,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0
10474,29,29,29,29,29,29,29,29,29,29
10475,23,0,0,27,0,0,0,0,0,0
10476,26,26,26,26,26,26,26,26,26,26
10477,4,4,4,4,4,4,4,4,4,4
10478,2,2,2,2,2,2,2,2,2,2
10479,0,0,0,0,0,0,0,0,0,0
10480,18,18,18,18,18,18,18,18,18,18
10481,0,0,0,0,0,0,0,0,0,0
10482,0,0,0,0,0,0,0,0,0,0
10483,0,23,30,0,0,0,0,0,0,22
10484,0,0,0,0,0,0,0,0,0,0
10485,23,11,34,5,9,28,20,23,15,14
10486,0,0,0,0,0,0,0,0,0,0
10487,0,0,0,0,0,0,0,0,0,0
10488,0,0,0,0,0,0,0,0,0,0
10489,22,7,8,12,6,13,15,23,19,18
10490,0,0,0,12,0,0,0,0,0,0
10491,0,0,10,0,0,0,11,19,0,0
10492,0,10,0,26,0,0,0,0,0,0
10493,0,0,0,0,0,0,0,0,0,29
10494,9,9,9,9,9,9,9,9,9,9
10495,0,0,0,0,0,0,0,0,0,0
10496,0,0,12,0,0,0,0,0,21,0
10497,0,0,0,0,0,0,0,0,0,0
10498,0,0,0,0,0,0,0,0,0,0
10499,0,0,0,0,0,0,0,0,0,0
10500,0,0,0,0,0,0,0,0,0,0
10501,0,0,0,0,0,0,0,0,0,0
10502,0,0,0,0,0,0,0,0,0,0
10503,22,22,22,22,22,22,22,22,22,22
10504,18,18,18,18,18,18,18,18,18,18
10505,0,0,0,0,0,0,0,0,0,0
10506,0,0,20,0,0,0,0,0,0,0
10507,16,16,16,16,16,16,16,16,16,16
10508,0,0,0,0,0,49,0,12,0,0
10509,0,0,0,0,15,0,13,0,0,0
10511,0,0,0,0,0,8,0,0,0,0
10512,29,29,29,29,29,29,29,29,29,29
10513,12,12,12,12,12,12,12,12,12,12
10514,0,0,0,0,0,0,0,0,0,0
10515,0,0,0,0,0,0,0,0,0,0
10516,0,27,0,0,14,0,9,0,0,28
10518,0,9,14,14,0,18,13,0,6,14
10519,17,17,17,17,17,17,17,17,17,17
10520,0,0,0,0,0,0,0,0,0,0
10521,0,0,13,0,12,0,0,0,0,12
10522,14,6,0,0,22,0,0,0,0,0
10523,0,0,0,0,0,0,0,0,0,0
10524,18,12,12,12,12,12,12,12,12,12
10525,6,6,6,6,6,6,6,6,6,6
10526,15,15,15,15,15,15,15,15,15,15
10527,0,0,0,0,0,0,0,0,0,0
10528,21,21,28,21,21,21,21,21,21,21
10529,31,31,31,31,31,31,31,31,31,31
10530,0,0,0,0,0,0,0,0,0,0
10531,6,0,23,23,0,8,12,29,0,4
10532,9,18,0,0,12,0,10,20,39,23
10533,0,0,0,0,0,0,0,0,0,0
10534,20,21,15,17,24,0,16,8,21,16
10535,0,0,0,0,0,0,0,0,0,0
10536,0,0,0,0,0,0,0,0,0,0
10537,3,8,3,3,3,3,3,3,3,3
10538,0,0,0,0,0,0,0,0,0,0
10539,0,0,0,0,0,0,0,0,0,0
